date,open,high,low,close,volume
2018/11/15,178.04,181,165.14,178.6,87090.27
2018/11/14,203.43,204.83,165.01,178.04,141671.87
2018/11/13,208.83,208.83,202.71,203.43,18466.66
2018/11/12,210.03,211.25,206.92,208.83,8445.99
2018/11/11,210.38,211.2,206.11,210.03,5726.09
2018/11/10,208.05,212.5,207.6,210.38,9033.53
2018/11/9,210.14,212.27,206.01,208.05,13251.9
2018/11/8,216.6,218.15,209.27,210.14,22796.36
2018/11/7,218.24,222.98,215.29,216.6,31083.65
2018/11/6,208.81,219.07,206.96,218.24,36929.14
2018/11/5,210.28,212,205.04,208.81,18906.64
2018/11/4,198.78,217.21,197.61,210.28,27729.64
2018/11/3,199.9,200.2,197.95,198.78,5369.46
2018/11/2,197.73,201.49,197.46,199.9,9539.34
2018/11/1,196.68,198.56,195.96,197.73,7295.7
2018/10/31,195.3,199.16,191.65,196.68,14454.24
2018/10/30,194.14,196.69,192.96,195.3,11520.63
2018/10/29,202.44,202.77,191.37,194.14,20088.4
2018/10/28,201.26,203.16,200.8,202.44,6449.18
2018/10/27,200.69,201.97,199.92,201.26,6425.65
2018/10/26,199.66,204.27,198.54,200.69,18949.9
2018/10/25,200.67,200.89,197.88,199.66,11922.85
2018/10/24,200.96,202.84,200,200.67,15650.84
2018/10/23,201.23,202.1,197.65,200.96,20103.28
2018/10/22,202.19,203.24,199.33,201.23,11504.27
2018/10/21,202.59,206.21,201.08,202.19,27494.39
2018/10/20,200.08,206,198.84,202.59,18269.03
2018/10/19,199.29,202.1,197.27,200.08,26749.5
2018/10/18,203.41,205.95,196.63,199.29,38882.43
2018/10/17,205.69,206.4,200.99,203.41,29120.25
2018/10/16,204.86,204.86,202.71,203.57,351.21
2018/10/15,192.01,219.75,189.71,204.86,103720.6
2018/10/14,196.79,199.5,187.45,192.01,13545.9
2018/10/13,194.67,199.27,193,196.79,13570.9
2018/10/12,188.42,197.89,186.89,194.67,22858.63
2018/10/11,223.38,223.39,185,188.42,71605.68
2018/10/10,226.3,226.47,221.11,223.38,13550.03
2018/10/9,227.79,228.8,224.84,226.3,13511.68
2018/10/8,224.34,230.98,222.2,227.79,25183.75
2018/10/7,223.06,225.98,220.1,224.34,11745.44
2018/10/6,226.73,227.19,222,223.06,9560.63
2018/10/5,221.07,230.29,218.28,226.73,14379.43
2018/10/4,218.96,225,218.12,221.07,18385.69
2018/10/3,224.83,225.22,210.5,218.96,38697.23
2018/10/2,229.66,230.74,221.39,224.83,14497.18
2018/10/1,231.96,234.58,218,229.66,13722.65
2018/9/30,230.56,238.47,224,231.96,16082.95
2018/9/29,220.94,236.98,212.54,230.56,32806.05
2018/9/28,228.58,233.65,214.32,220.94,40540.78
2018/9/27,214.42,234,210,228.58,46089.96
2018/9/26,218.85,223,207.21,214.42,29637.42
2018/9/25,228.05,228.05,203.25,218.85,43699.63
2018/9/24,244.14,245.76,224.5,228.05,22921.36
2018/9/23,239.93,249.44,237,244.14,19335.63
2018/9/22,247.64,255.89,232.6,239.93,31193.61
2018/9/21,224.3,252.14,220.64,247.64,74459.86
2018/9/20,209.48,227.68,206.8,224.3,36283.33
2018/9/19,208.53,214.7,196.66,209.48,49875.25
2018/9/18,196.16,214.39,194,208.53,35938.82
2018/9/17,220.08,225,192,196.16,50924.54
2018/9/16,221.93,223,205.62,220.08,17787.09
2018/9/15,208.71,227,208.19,221.93,16998.02
2018/9/14,211.31,223.91,202.53,208.71,72124.27
2018/9/13,182.78,214.88,182.78,211.31,90544.48
2018/9/12,185.04,185.04,167,182.78,70517.51
2018/9/11,196.66,199.03,176,185.04,83013.95
2018/9/10,195.8,202.77,186.44,196.66,44437.24
2018/9/9,197.16,208.37,185.82,195.8,37329.69
2018/9/8,214.77,220.38,190.11,197.16,51520.37
2018/9/7,229.03,233.99,213.37,214.77,47472.43
2018/9/6,227.99,259.48,210.79,229.03,62118.89
2018/9/5,285.22,287.55,226,227.99,53395.65
2018/9/4,288.85,292.29,281.99,285.22,20921.81
2018/9/3,294.75,296.38,285,288.85,14272.21
2018/9/2,295.45,299.16,288.78,294.75,13789.7
2018/9/1,281.49,302.66,281.47,295.45,13507.21
2018/8/31,284.21,284.93,276.23,281.49,13576.45
2018/8/30,288.34,290.81,272.23,284.21,21610.46
2018/8/29,295.9,297.04,284,288.34,10750.94
2018/8/28,287.99,297.97,282.5,295.9,18066.32
2018/8/27,274.69,288.25,271.3,287.99,12957.61
2018/8/26,277.99,277.99,269.61,274.69,6441.85
2018/8/25,280.9,283.14,276.2,277.99,2568.84
2018/8/24,275.72,283.72,270.01,280.9,12600.89
2018/8/23,269.99,280.65,268.17,275.72,17426.25
2018/8/22,281.25,298.89,258.99,269.99,28132.21
2018/8/21,270.85,285.71,269.73,281.25,17859.54
2018/8/20,299.97,303.99,269.35,270.85,24070.61
2018/8/19,293.83,306.65,289.13,299.97,15283.59
2018/8/18,317.43,321.18,282.67,293.83,28432.14
2018/8/17,286.62,318.53,285.11,317.43,38560.07
2018/8/16,281.17,298.97,278.14,286.62,26607.61
2018/8/15,277.83,305.76,276.87,281.17,36888.34
2018/8/14,283.95,283.96,250.54,277.83,93651.36
2018/8/13,318.08,321.86,281.07,283.95,35376.53
2018/8/12,312.89,312.89,312.89,312.89,0
2018/8/11,331.63,332.84,311.64,312.89,11026.37
2018/8/10,363.52,366.23,326,331.63,21295.27
2018/8/9,355.59,370.43,350.84,363.52,30689.28
2018/8/8,378.3,381.52,347.62,355.59,38217.34
2018/8/7,404.25,410.67,369.22,378.3,22084.43
2018/8/6,408.97,412.99,400.59,404.25,9716.07
2018/8/5,406.54,413.58,400.36,408.97,7449.33
2018/8/4,416.91,418.99,401.16,406.54,10050.63
2018/8/3,410.56,419.88,397.41,416.91,15210.82
2018/8/2,420.06,424.85,407.33,410.56,14313.3
2018/8/1,432.29,434.41,407.49,420.06,17818.57
2018/7/31,456.97,457.23,427.3,432.29,16276.38
2018/7/30,466.47,469.06,445.5,456.97,10719.74
2018/7/29,469,471.97,461.8,466.47,2204.24
2018/7/28,469.21,472,461.11,469,2160.23
2018/7/27,461.98,474.61,455.8,469.21,10102.08
2018/7/26,471.33,484.14,459.57,461.98,10386.12
2018/7/25,479.58,484.64,463.1,471.33,11699.13
2018/7/24,449.73,483.24,448.01,479.58,15138.01
2018/7/23,457,469.51,445.74,449.73,11768.88
2018/7/22,461.39,471.51,453,457,5169.7
2018/7/21,447.34,468.68,441.33,461.39,5795.98
2018/7/20,468.58,469.66,441,447.34,11213.47
2018/7/19,479.47,483.73,462.45,468.58,9223.82
2018/7/18,498.9,514.94,469.06,479.47,17950.88
2018/7/17,478,511.44,465.75,498.9,27583.62
2018/7/16,449.54,480,444.02,478,17599.98
2018/7/15,433.37,454.94,431.05,449.54,11051.8
2018/7/14,433.43,439.99,428.2,433.37,3707.71
2018/7/13,430.57,442.4,424,433.43,11426.97
2018/7/12,444.34,445.92,417.37,430.57,13839.76
2018/7/11,433.24,447.1,424.89,444.34,11055.06
2018/7/10,471.76,473.48,426.95,433.24,32529.14
2018/7/9,485.52,488.64,468.17,471.76,12176.44
2018/7/8,485.68,495.48,481.92,485.52,8879.97
2018/7/7,469.99,487,461.26,485.68,7700.5
2018/7/6,467.98,477,450.08,469.99,9005.83
2018/7/5,466.99,479.05,457.37,467.98,14252.21
2018/7/4,460.89,482.2,451.06,466.99,16081.83
2018/7/3,475.63,486.99,459.66,460.89,16389.19
2018/7/2,452.42,481.7,443.28,475.63,26051.77
2018/7/1,453.84,456.99,444.33,452.42,11857.34
2018/6/30,434.4,463,434.4,453.84,17994.05
2018/6/29,420.51,442.08,404.98,434.4,22951.4
2018/6/28,441.55,443.67,417,420.51,11044.72
2018/6/27,429.73,446.66,420,441.55,19038.2
2018/6/26,458.48,461.65,428.87,429.73,23672.15
2018/6/25,455.27,474.69,445,458.48,25796.12
2018/6/24,475.35,476.42,421,455.27,26971.2
2018/6/23,462.86,482.53,457.16,475.35,7043.56
2018/6/22,525.27,526.27,449.91,462.86,51972.46
2018/6/21,536.3,545.23,521.04,525.27,12803.87
2018/6/20,538.11,542.29,516.97,536.3,13158.59
2018/6/19,517.04,547.82,514.62,538.11,16731.88
2018/6/18,497.26,524.54,487.3,517.04,12730.78
2018/6/17,497.84,510,493.3,497.26,11403.09
2018/6/16,488.27,502.82,483.16,497.84,7986.64
2018/6/15,520.57,522.31,483.73,488.27,21467.66
2018/6/14,475.89,527.97,460.25,520.57,48837.27
2018/6/13,494.16,501.71,449.65,475.89,38425.71
2018/6/12,530.57,540.56,485,494.16,23604.47
2018/6/11,526.28,536.87,509.85,530.57,28129.93
2018/6/10,593.88,593.88,504,526.28,40970.53
2018/6/9,599.88,610,590.93,593.88,4135.69
2018/6/8,604.05,608,592.06,599.88,13892.62
2018/6/7,606.39,616.74,597.96,604.05,21291.02
2018/6/6,607.53,612.04,593.4,606.39,21138.65
2018/6/5,590,613,576.47,607.53,36158.04
2018/6/4,619.59,625.4,579.03,590,21461.18
2018/6/3,591,628.78,590,619.59,10974.65
2018/6/2,578.96,599.5,573.32,591,15555.64
2018/6/1,576.85,589,563.38,578.96,22076.54
2018/5/31,556.82,586,553.2,576.85,32196.4
2018/5/30,566.99,585.32,541.3,556.82,34053.02
2018/5/29,512.23,573.34,510.05,566.99,35847.36
2018/5/28,571.39,576.45,506.3,512.23,22259.11
2018/5/27,585.65,592.88,556.92,571.39,11946.29
2018/5/26,584.99,607.7,578.84,585.65,9028.9
2018/5/25,601.76,616.18,569.19,584.99,22893.39
2018/5/24,576.84,609,549.28,601.76,42744.25
2018/5/23,640.86,649.89,564.94,576.84,67508.31
2018/5/22,696.43,699.57,637.93,640.86,30230
2018/5/21,716,720,687.8,696.43,13978.12
2018/5/20,695.88,723.16,687.89,716,10793.91
2018/5/19,692.54,716.93,683,695.88,12333.29
2018/5/18,669.04,694.96,656.36,692.54,23002.33
2018/5/17,706.88,718.9,660.65,669.04,35431.74
2018/5/16,707.38,712,674.57,706.88,24194.54
2018/5/15,727.62,739.37,695.74,707.38,30116.83
2018/5/14,730.06,743,686.63,727.62,43957.93
2018/5/13,683.99,741.61,668.78,730.06,31210.26
2018/5/12,677.26,692.7,638.15,683.99,31181.08
2018/5/11,723.6,735.68,662.57,677.26,50671.75
2018/5/10,749.58,766.99,720,723.6,29806.88
2018/5/9,747.92,759.9,710.01,749.58,35051.92
2018/5/8,751.18,775.11,716,747.92,37843.38
2018/5/7,787.42,791,691.99,751.18,53733.47
2018/5/6,815.45,832.37,749,787.42,30945.17
2018/5/5,782.47,830,778.03,815.45,16170.22
2018/5/4,776.92,803.99,758.1,782.47,30244.06
2018/5/3,687.29,785,684.89,776.92,54001.98
2018/5/2,669.86,690.05,661.03,687.29,27719.04
2018/5/1,669.98,674.01,627.22,669.86,36528.64
2018/4/30,689.23,694.14,663,669.98,23810.06
2018/4/29,683.38,699.97,666,689.23,22215.95
2018/4/28,642.54,697.08,639.05,683.38,24553.17
2018/4/27,660.95,685,636.15,642.54,29571.04
2018/4/26,617.02,666,598.15,660.95,49649.48
2018/4/25,703.71,704.01,595,617.02,112502.46
2018/4/24,643.77,711.7,643.68,703.71,54671.06
2018/4/23,621.5,648.24,618.56,643.77,24226.71
2018/4/22,604.85,643.46,591.31,621.5,30537.8
2018/4/21,617.7,624.75,573.58,604.85,36398.73
2018/4/20,566.46,622.26,556.37,617.7,52187.09
2018/4/19,525.2,569,520.2,566.46,31732.09
2018/4/18,502.8,526.66,501.28,525.2,23073.93
2018/4/17,510.57,521.36,500.54,502.8,22085.39
2018/4/16,533.83,537.43,498.34,510.57,28988.81
2018/4/15,503.41,535,503.14,533.83,29650.65
2018/4/14,495.95,515.91,486,503.41,18199.93
2018/4/13,494.31,529.36,481.67,495.95,57808.73
2018/4/12,430,498,413.8,494.31,48431.86
2018/4/11,415.65,433.46,411,430,21763.25
2018/4/10,399,418.3,391.28,415.65,25139.03
2018/4/9,400.23,431.36,386.19,399,26518.22
2018/4/8,384.66,410,384.14,400.23,11317.66
2018/4/7,370.08,397.4,368.99,384.66,16411.98
2018/4/6,381.05,385.62,360,370.08,18493.15
2018/4/5,378.99,387.49,366.95,381.05,20729.05
2018/4/4,415.32,417.5,370.49,378.99,31337.18
2018/4/3,384.47,419.08,380,415.32,31371.19
2018/4/2,378,395,375.02,384.47,20485.05
2018/4/1,393.79,399.78,358.4,378,40341.46
2018/3/31,393.46,419.7,387.85,393.79,37134.69
